PopulationId,OneIns,MoreIns,NoIns
897,2876,1057,852
898,1210,340,343
899,4564,1413,1446
900,2466,451,844
901,765,398,478
902,2644,454,934
903,3797,1152,1308
904,4083,1024,1015
905,2686,636,640
906,1997,714,1060
907,3047,835,898
908,3812,1175,585
909,3372,863,917
910,3376,895,841
911,4138,694,1296
912,3940,1154,1234
913,3532,875,643
914,779,148,482
915,1530,321,560
916,1338,594,480
917,2380,631,625
918,2390,505,534
919,4990,1540,1226
920,3919,1043,624
921,1403,322,195
922,4644,1389,1008
923,2201,644,904
924,2680,971,900
925,2642,824,571
926,2712,1262,748
927,3084,819,898
928,1947,741,630
929,2017,528,1322
930,1826,358,1552
931,2146,390,575
932,0,0,0
933,135,6,49
934,5336,964,1246
935,1401,279,487
936,605,199,206
937,5963,692,870
938,4583,865,1305
939,4595,1106,822
940,2764,781,1074
941,984,228,327
942,4505,1099,1160
943,9053,1488,1547
944,2142,527,469
945,4569,847,965
946,3750,964,702
947,6011,1039,2235
948,2923,589,1237
949,3581,848,1551
950,3758,1115,1374
951,3232,606,1163
952,2484,546,469
953,3455,640,1172
954,5023,848,556
955,6890,1750,2785
956,2648,767,1211
957,6068,1083,2017
958,4366,825,1638
959,4625,1100,1986
960,749,156,202
961,2915,671,1449
962,143,326,45
963,1358,371,554
964,1602,732,223
965,1074,310,229
966,1655,872,227
967,4098,965,739
968,1541,520,336
969,1701,543,700
970,9212,1287,2117
971,2195,402,541
972,5740,810,1407
973,2910,604,867
974,2740,766,989
975,6084,687,369
976,3519,784,207
977,2744,702,211
978,2104,279,389
979,2499,673,531
980,4324,699,1189
981,3458,621,878
982,2956,693,1082
983,2731,536,846
984,2669,686,795
985,3070,658,567
986,1507,335,711
987,2631,690,556
988,1974,357,448
989,4126,669,719
990,1588,415,288
991,7901,1570,1087
992,7046,999,2231
993,3517,331,920
994,4007,429,2060
995,4069,305,1214
996,1613,246,1155
997,4108,339,1417
998,5085,613,1507
999,5826,1052,1699
1000,1723,230,729
1001,864,217,443
1002,2425,602,1053
1003,4754,779,607
1004,4200,537,367
1005,2543,445,798
1006,3140,534,1284
1007,4328,1109,1991
1008,2142,235,949
1009,3812,351,1641
1010,6819,1131,2301
1011,1927,372,1145
1012,5842,804,1824
1013,4601,897,3094
1014,2531,350,619
1015,4275,510,1316
1016,1220,1124,244
1017,1710,225,236
1018,2658,698,195
1019,5607,967,914
1020,2696,737,61
1021,4073,376,1103
1022,2743,473,1110
1023,2885,513,903
1024,3371,440,1101
1025,4331,514,1274
1026,3427,451,1020
1027,2893,435,480
1028,3447,568,579
1029,5231,732,580
1030,4035,338,375
1031,4334,1082,1367
1032,5665,677,1763
1033,2054,445,1311
1034,3822,580,1256
1035,3681,365,1147
1036,4710,1334,1375
1037,4174,612,1152
1038,5076,792,2251
1039,5804,487,2321
1040,12894,2258,2010
1041,4195,387,711
1042,11313,1552,4335
1043,1726,256,251
1044,7330,803,732
1045,7682,858,1646
1046,10267,1170,2402
1047,1179,103,212
1048,1339,263,447
1049,2264,583,477
1050,4055,526,571
1051,2739,547,880
1052,4212,873,1375
1053,3354,663,850
1054,2811,376,612
1055,4169,608,385
1056,11858,1557,938
1057,7713,959,851
1058,3673,553,324
1059,2139,507,179
1060,3600,268,324
1061,9523,1167,506
1062,2154,382,40
1063,1945,523,254
1064,4091,577,337
1065,6024,918,818
1066,583,77,163
1067,5061,579,1935
1068,3877,537,599
1069,3853,426,1274
1070,799,182,298
1071,5195,601,1967
1072,0,0,0
1073,4799,614,1997
1074,3397,411,1336
1075,2712,185,941
1076,0,0,0
1077,0,0,0
1078,6950,1281,3917
1079,5797,351,2277
1080,2073,332,1677
1081,7582,898,2111
1082,3332,419,1288
1083,5476,816,2611
1084,2430,270,577
1085,5251,871,808
1086,1463,670,159
1087,2662,740,186
1088,3028,1712,645
1089,2255,1758,467
1090,2991,1259,1485
1091,1256,357,161
1092,3758,1627,540
1093,3704,976,381
1094,5544,1391,1374
1095,4883,1595,798
1096,4145,1078,533
1097,3299,974,867
1098,5222,1224,808
1099,2804,1105,862
1100,1648,414,172
1101,1151,709,4
1102,4565,1362,586
1103,4952,914,1979
1104,2408,521,748
1105,317,0,56
1106,4213,742,819
1107,1245,307,201
1108,2376,538,512
1109,4276,856,491
1110,4188,1250,259
1111,5945,1131,1305
1112,2044,361,839
1113,4428,290,2169
1114,2318,218,1630
1115,4055,513,2200
1116,2207,264,1653
1117,5174,559,2965
1118,4002,221,2290
1119,1823,286,1209
1120,1508,413,354
1121,2127,418,635
1122,1440,328,332
1123,3835,430,0
1124,3767,788,945
1125,3645,827,801
1126,6500,1555,1515
1127,4031,512,1137
1128,3305,742,1038
1129,7771,1260,1191
1130,3748,1020,240
1131,4206,955,661
1132,3008,791,655
1133,3719,650,594
1134,5228,1270,1525
1135,2659,917,263
1136,3311,785,678
1137,3928,447,1457
1138,3697,828,1699
1139,1735,386,606
1140,3345,461,779
1141,2091,353,715
1142,1527,219,427
1143,3107,413,699
1144,2813,239,1592
1145,0,0,0
1146,6621,799,2498
1147,0,0,0
1148,1737,633,641
1149,1748,1016,337
1150,3299,1031,769
1151,1773,648,1040
1152,1011,592,425
1153,1838,1197,435
1154,2361,1219,1005
1155,2643,925,433
1156,1458,502,606
1157,2441,598,933
1158,3607,1866,1297
1159,4181,1105,1170
1160,1818,1022,839
1161,1965,802,786
1162,5143,1435,1214
1163,686,288,155
1164,1536,434,397
1165,2955,728,406
1166,2426,487,348
1167,1005,299,219
1168,3125,593,301
1169,706,140,275
1170,2409,630,218
1171,1314,490,222
1172,3511,521,786
1173,2580,404,500
1174,3667,559,1984
1175,1575,463,792
1176,2929,695,596
1177,2761,697,847
1178,1375,206,366
1179,2513,429,401
1180,1145,244,491
1181,2741,540,375
1182,2172,377,415
1183,3412,667,654
1184,3638,965,1481
1185,2377,638,295
1186,5304,740,815
1187,2564,387,770
1188,3690,361,1820
1189,3214,460,1402
1190,2697,607,826
1191,2833,389,1369
1192,2964,473,1393
1193,2181,247,714
1194,2712,390,1926
1195,3223,511,2134
1196,2652,251,606
1197,1822,173,856
1198,1906,180,759
1199,1881,151,874
1200,2375,287,891
1201,2204,286,931
1202,2702,263,871
1203,1435,160,543
1204,3353,161,843
1205,4320,400,1009
1206,1968,233,1089
1207,1494,76,658
1208,2018,287,619
1209,4780,621,1098
1210,3429,476,677
1211,4386,523,968
1212,2550,435,470
1213,4023,415,1243
1214,2040,286,932
1215,2343,236,798
1216,3628,465,1196
1217,1699,265,510
1218,2619,207,943
1219,3865,470,515
1220,3678,545,1439
1221,2486,621,185
1222,3179,470,1135
1223,1562,397,217
1224,2227,476,612
1225,3522,725,205
1226,2553,721,223
1227,2587,312,509
1228,2946,292,1110
1229,1818,257,519
1230,2035,253,863
1231,3415,477,1230
1232,1790,397,143
1233,2708,528,486
1234,2682,504,103
1235,1478,223,160
1236,4601,663,431
1237,4510,786,595
1238,1443,396,332
1239,2082,288,303
1240,2576,436,493
1241,2219,532,802
1242,3356,423,1055
1243,3312,669,1290
1244,2762,631,623
1245,1904,430,620
1246,3478,630,569
1247,3097,802,486
1248,2171,251,595
1249,2298,676,399
1250,3574,781,803
1251,4839,872,452
1252,2845,449,547
1253,3442,919,437
1254,4990,611,1682
1255,3631,643,730
1256,5626,1073,1219
1257,2290,737,656
1258,2002,617,354
1259,2959,800,214
1260,2297,525,354
1261,3493,618,418
1262,1476,467,243
1263,2608,896,480
1264,4805,500,2172
1265,2979,506,1193
1266,1093,232,294
1267,2674,803,543
1268,1832,385,149
1269,2680,684,744
1270,3992,418,1206
1271,2631,686,605
1272,4077,760,876
1273,4591,597,1669
1274,4610,573,1226
1275,3552,1166,408
1276,2405,275,190
1277,3148,477,626
1278,4976,840,1037
1279,3188,450,1165
1280,3018,607,459
1281,2731,339,1164
1282,4000,546,1205
1283,2361,273,913
1284,1900,211,899
1285,3516,374,1222
1286,1771,318,598
1287,2844,300,1317
1288,1717,274,396
1289,2972,451,505
1290,3832,751,719
1291,2458,414,617
1292,2740,426,820
1293,2470,111,1295
1294,2187,126,1188
1295,1963,185,1056
1296,2454,133,1414
1297,2109,204,1366
1298,3866,388,1592
1299,2686,287,987
1300,4503,613,2106
1301,2299,376,1344
1302,2823,536,1179
1303,2382,454,782
1304,2953,260,1548
1305,2003,179,1570
1306,1769,305,569
1307,2334,194,948
1308,3113,518,1712
1309,2964,729,1106
1310,4245,575,1414
1311,3364,634,1116
1312,1721,152,1023
1313,3176,222,1488
1314,1320,176,1231
1315,1877,170,1171
1316,1689,239,669
1317,1824,321,781
1318,2459,202,1748
1319,2214,242,1188
1320,2566,325,1763
1321,3732,653,1224
1322,4084,1117,1737
1323,2754,508,1680
1324,1938,497,1206
1325,1930,246,1122
1326,1769,331,426
1327,1814,419,514
1328,1529,188,542
1329,3384,229,1202
1330,1595,466,557
1331,2092,254,1117
1332,2017,582,673
1333,2193,508,1607
1334,3122,746,1635
1335,2971,359,1341
1336,1916,279,755
1337,1312,262,664
1338,2770,313,1550
1339,1968,264,1441
1340,2869,381,2003
1341,2341,193,1803
1342,2182,269,1009
1343,2849,430,1328
1344,2673,493,1122
1345,2276,239,1200
1346,2189,270,849
1347,1830,235,743
1348,1897,158,797
1349,3010,507,1019
1350,1933,308,1057
1351,2386,811,1321
1352,2384,427,1193
1353,2832,303,1502
1354,2684,693,1438
1355,1465,251,834
1356,3168,582,1545
1357,2267,299,830
1358,2598,410,1071
1359,3698,654,1190
1360,2325,449,1589
1361,1789,317,435
1362,3707,666,524
1363,2297,196,1222
1364,1322,129,745
1365,1435,255,936
1366,1377,155,1056
1367,1845,354,1102
1368,1518,183,956
1369,1570,225,1432
1370,2405,402,1002
1371,2667,435,978
1372,2251,280,649
1373,2537,436,462
1374,3461,523,700
1375,1672,380,822
1376,2401,261,677
1377,4270,481,1202
1378,2513,225,1221
1379,2922,390,1499
1380,3275,838,1410
1381,2039,215,1310
1382,2685,273,883
1383,2159,243,771
1384,2058,473,861
1385,1921,308,315
1386,3193,319,1853
1387,2010,326,891
1388,2436,320,1000
1389,3950,363,1188
1390,2968,545,1393
1391,2886,470,1040
1392,3648,510,1961
1393,2371,314,1281
1394,1762,162,983
1395,1872,428,522
1396,2721,164,735
1397,2686,272,716
1398,2307,252,980
1399,1532,324,993
1400,2625,391,941
1401,2662,298,962
1402,2652,248,1518
1403,2038,256,943
1404,2786,387,1604
1405,2504,300,896
1406,2084,266,933
1407,2511,328,1787
1408,3610,274,1691
1409,1812,282,1042
1410,2606,362,1989
1411,1653,231,1496
1412,2986,435,790
1413,3403,455,631
1414,2695,295,1262
1415,2482,306,171
1416,4196,533,785
1417,2328,316,644
1418,3245,629,612
1419,2770,317,648
1420,3763,655,2152
1421,3828,406,1322
1422,2574,428,418
1423,2297,334,613
1424,3155,595,1009
1425,4067,667,1584
1426,3849,364,1058
1427,3153,263,1426
1428,2586,237,741
1429,3370,366,2290
1430,3698,319,1046
1431,2501,317,604
1432,2227,560,418
1433,2921,390,1086
1434,3520,521,1264
1435,4057,775,2204
1436,2011,466,805
