Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
3483,418,36,0,1125,0,0
3693,279,169,16,1462,0,0
4970,268,218,0,0,0,0
2680,544,69,161,44,0,0
3560,369,132,0,319,0,0
4346,406,126,1,755,0,0
3469,283,389,36,905,0,0
2872,309,205,63,1113,10,0
2091,387,342,173,422,0,0
1518,551,324,15,520,0,0
2865,870,407,11,1417,21,0
1688,383,263,0,837,0,0
2187,739,269,6,1110,6,0
1494,667,167,54,331,4,0
2865,3236,369,16,930,0,55
2392,2381,151,15,530,0,0
1295,1777,248,0,467,0,0
2708,970,354,94,920,17,0
2972,1119,681,0,971,12,0
1784,612,178,12,845,0,0
3421,1018,153,27,209,0,51
2898,884,332,51,893,0,0
3577,1501,249,0,74,0,0
1483,1913,82,9,47,0,43
1918,879,219,5,425,0,0
2061,1057,916,27,377,0,0
4142,2186,448,28,1765,22,42
2632,1375,669,0,1072,17,0
4424,1038,348,15,929,0,143
1610,830,121,5,458,0,0
3024,822,317,35,834,0,8
2642,843,252,0,496,2,0
2892,1351,391,0,1136,0,0
3235,1648,0,14,56,7,0
5503,1375,2,26,575,0,0
5297,1622,1,0,298,0,39
1263,985,0,42,269,3,0
3231,1840,688,50,453,12,0
3739,1996,810,0,1267,0,11
1118,4555,244,0,1282,0,74
1175,1408,283,0,492,7,15
2178,2568,504,0,322,0,0
4659,3846,1464,42,997,0,0
1665,1404,122,40,259,0,0
1465,3217,73,7,328,0,0
1605,1647,505,0,815,4,133
860,1032,445,0,255,0,0
779,2752,189,0,352,0,31
903,3685,17,11,552,0,66
795,2676,66,0,158,0,0
2485,710,18,7,308,9,57
982,2599,65,0,365,0,0
1456,3196,110,15,58,0,0
736,2142,86,53,388,0,0
1406,2167,0,81,108,0,0
887,3126,32,0,340,0,0
2005,2157,87,0,511,0,0
2043,1738,383,0,344,8,35
575,2279,6,43,187,0,0
1100,1638,234,0,3,0,0
557,1750,43,0,93,0,0
3448,1755,1009,43,456,0,3
2712,789,461,14,326,0,0
2830,889,674,7,321,7,0
3377,800,505,0,95,0,32
2917,1822,311,7,198,6,0
1932,1190,130,8,416,0,0
755,928,0,5,172,7,0
