HouseHoldId,Tot_Housing_Units_ACS_10_14,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
385,2505,1786,400,319,0
386,2374,1973,298,103,0
387,982,849,133,0,0
388,2776,1103,1020,564,89
389,2857,2079,349,429,0
390,2331,1381,665,265,20
391,1842,785,673,197,187
392,1654,960,520,150,24
393,1523,1103,275,94,51
394,2256,1998,0,14,244
395,2250,1927,158,0,165
396,2791,2437,64,19,240
397,2716,1873,44,0,792
398,1395,884,0,0,511
399,1514,912,10,0,592
400,2593,1646,81,59,789
401,1594,1238,55,15,286
402,2464,1948,133,118,265
403,2283,1562,518,0,203
404,2501,1930,190,196,185
405,2378,1715,28,13,531
406,2947,1793,17,0,1103
407,1654,969,456,136,93
408,1175,758,11,0,406
409,1846,1175,31,0,640
410,2223,1871,49,107,196
411,1952,1064,477,358,53
412,949,744,27,14,164
413,1204,853,4,0,347
414,1230,1021,8,53,128
415,1754,1458,0,109,123
416,1533,885,35,18,556
417,1970,1259,16,9,610
418,1122,912,34,53,123
419,1298,1099,123,23,53
420,1633,1384,119,46,84
421,1277,1137,24,0,114
422,1814,1256,54,0,396
423,2856,2533,81,0,242
424,2242,1560,205,181,296
425,2150,1823,27,31,269
426,3979,3572,57,31,319
427,2314,2303,0,0,11
428,3475,2595,375,155,350
429,2398,2067,41,0,290
430,2783,2597,73,0,113
431,3468,3372,0,0,96
432,2341,2232,55,8,46
433,1696,1407,105,25,159
434,1979,1423,197,189,170
435,1919,1619,172,90,38
436,1184,936,30,0,215
437,1113,872,138,47,39
438,1995,1414,69,0,477
439,2434,1727,196,289,222
440,1255,1255,0,0,0
441,2127,1978,31,18,80
442,2317,2047,117,40,113
443,1806,1640,148,18,0
444,3200,3189,11,0,0
445,2500,2156,156,155,33
446,3550,3116,220,191,23
447,3151,2864,65,222,0
448,2246,2202,44,0,0
449,2833,2571,162,100,0
450,1580,1294,42,0,244
451,3393,3343,25,0,25
452,1356,1308,0,48,0
453,492,423,17,9,43
454,1712,1692,0,20,0
455,1821,1811,10,0,0
456,2191,2134,29,0,28
457,2567,1454,606,507,0
458,1126,959,0,10,157
459,1865,1479,300,79,7
460,1266,888,213,153,0
461,1573,1342,31,200,0
462,1854,1553,175,126,0
463,1190,610,329,164,87
464,1644,476,818,350,0
465,1408,1397,0,11,0
466,2739,1502,339,704,194
467,2619,2462,14,131,12
468,1482,1482,0,0,0
469,1169,864,67,238,0
470,1753,1366,288,99,0
471,1547,1303,140,104,0
472,815,583,151,81,0
473,2827,1447,554,623,203
474,1500,1167,153,180,0
475,2588,2043,329,216,0
476,956,923,0,33,0
477,1822,1277,441,104,0
478,514,514,0,0,0
479,1623,1327,177,119,0
480,1736,1327,39,0,362
481,1789,1201,229,288,64
482,2537,1426,546,212,353
483,1792,1376,77,0,332
484,1214,1184,8,22,0
485,470,85,305,80,0
486,1091,709,282,100,0
487,1530,1116,106,308,0
488,3145,2477,389,279,0
489,1262,1091,15,156,0
490,1033,926,26,81,0
491,2534,2031,206,297,0
492,2533,2073,198,248,14
493,2758,2695,63,0,0
494,1802,1579,95,128,0
495,2423,1355,552,506,10
496,2641,2229,159,253,0
497,1792,1533,232,27,0
498,2977,458,437,2022,60
499,2568,882,750,936,0
500,2276,1680,199,397,0
501,1447,1223,14,210,0
502,2901,1138,425,255,1083
503,1461,81,106,1274,0
504,2374,2168,142,64,0
505,2022,1962,50,0,10
506,2820,2085,186,512,37
507,2928,2336,287,305,0
508,1520,1194,148,178,0
509,1595,1233,175,187,0
510,2297,2157,108,32,0
511,1610,1067,224,314,5
512,3287,1423,764,1100,0
513,1745,1660,57,5,23
514,2855,2411,51,393,0
515,1296,1245,22,0,29
516,1597,390,489,709,9
517,2749,352,587,1731,79
518,1234,1033,114,58,29
519,1781,359,623,719,62
520,1244,1040,128,76,0
521,3132,1597,491,499,501
522,2359,2038,61,260,0
523,1905,961,418,319,207
524,1431,1367,33,31,0
525,1463,1262,128,73,0
526,2702,784,555,1363,0
527,2858,1845,698,315,0
528,1123,996,0,127,0
529,2205,2074,113,0,0
530,2002,45,240,1717,0
531,3583,437,716,2430,0
532,2527,1562,462,503,0
533,3048,2805,214,29,0
534,2070,1353,132,577,8
535,2215,1186,331,698,0
536,2094,1355,362,377,0
537,1522,1318,104,100,0
538,2020,1390,388,242,0
539,1227,1220,7,0,0
540,1841,1460,98,275,8
541,2410,2176,98,136,0
542,3278,2227,791,260,0
543,1963,1078,435,450,0
544,2499,1327,346,826,0
545,1485,1471,14,0,0
546,2655,2550,105,0,0
547,1924,1692,92,140,0
548,920,914,0,6,0
549,3303,1972,501,811,19
550,2769,2165,359,245,0
551,1302,1302,0,0,0
552,1329,1273,5,8,43
553,2073,2073,0,0,0
554,2821,2624,12,185,0
555,1456,1456,0,0,0
556,2601,2528,16,57,0
557,2425,2207,154,64,0
558,1770,1770,0,0,0
559,1977,1317,182,478,0
560,2574,1618,493,463,0
561,2105,501,1265,339,0
562,3088,650,1550,888,0
563,1414,463,917,15,19
564,2182,2151,16,0,15
565,843,809,29,5,0
566,1885,1767,110,8,0
567,2352,1634,414,304,0
568,1070,907,124,33,5
569,1342,1273,18,51,0
570,1504,1482,22,0,0
571,727,727,0,0,0
572,2552,2405,0,147,0
573,1697,1544,0,0,143
574,3857,3710,17,130,0
575,2236,2043,0,117,21
576,1281,1269,0,0,12
577,1982,1767,133,82,0
578,2171,2126,0,45,0
579,1728,1650,78,0,0
580,3557,3239,73,245,0
581,1903,742,24,1137,0
582,1925,1808,39,78,0
583,2014,1923,69,22,0
584,2681,1961,391,329,0
585,2882,2625,205,0,15
586,1232,1224,0,0,8
587,3238,2752,284,202,0
588,1879,1802,57,0,20
589,1192,1065,47,44,36
590,2064,1766,254,44,0
591,1668,1118,447,103,0
592,2104,1499,494,111,0
593,1981,1372,269,340,0
594,2113,1534,336,243,0
595,950,581,288,81,0
596,1574,1297,272,0,5
597,2337,2150,51,136,0
598,2352,2029,158,129,14
599,1525,1428,0,97,0
600,1781,1625,14,142,0
601,1547,1504,0,0,43
602,1916,1347,199,312,58
603,1870,1310,336,224,0
604,1252,1184,68,0,0
605,2824,2236,312,276,0
606,1904,1590,213,101,0
607,1777,1082,499,196,0
608,2519,728,285,1506,0
609,1310,1067,156,71,16
610,1855,1418,269,163,5
611,2094,1270,79,745,0
612,1728,1042,254,432,0
613,1432,1021,378,33,0
614,937,603,172,115,47
615,2538,768,459,1100,172
616,1086,655,378,46,7
617,1175,916,244,7,8
618,2051,1681,328,42,0
619,2365,2000,355,10,0
620,1183,902,177,25,79
621,1882,1204,504,166,8
622,1256,662,579,15,0
623,2084,1314,482,280,8
624,2460,1193,831,423,13
625,2000,959,457,562,0
626,2130,1393,648,49,22
627,2864,1195,1344,312,0
628,2209,1589,511,109,0
629,2813,1363,858,534,58
630,2160,1536,528,96,0
631,1676,1628,37,11,0
632,1170,1130,40,0,0
633,576,564,12,0,0
634,1500,613,360,527,0
635,1154,827,129,198,0
636,1192,902,272,18,0
637,918,560,284,74,0
